OCCUR_DATE;BORO;PRECINCT;LOC_CLASSFCTN_DESC;STATISTICAL_MURDER_FLAG;PERP_AGE_GROUP;PERP_SEX;PERP_RACE;VIC_AGE_GROUP;VIC_SEX;VIC_RACE
04.12.2022;BRONX;49;STREET;Y;18-24;M;BLACK HISPANIC;18-24;F;BLACK
12/17/2022;BRONX;52;STREET;N;25-44;M;WHITE HISPANIC;25-44;M;WHITE HISPANIC
08/27/2022;BRONX;44;VEHICLE;N;(null);(null);(null);25-44;M;WHITE HISPANIC
01/15/2022;QUEENS;113;HOUSING;N;(null);(null);(null);18-24;M;BLACK
07/14/2022;BROOKLYN;77;DWELLING;N;(null);(null);(null);25-44;F;BLACK
07.04.2022;BRONX;48;STREET;N;(null);(null);(null);45-64;M;BLACK
09/29/2022;BROOKLYN;81;STREET;N;25-44;M;BLACK;25-44;M;WHITE HISPANIC
11.11.2022;BROOKLYN;75;OTHER;N;(null);(null);(null);25-44;M;BLACK
10/16/2022;BROOKLYN;75;STREET;Y;25-44;M;BLACK;25-44;F;BLACK
08.08.2022;MANHATTAN;20;STREET;N;18-24;M;BLACK;25-44;M;BLACK HISPANIC
06.03.2022;BRONX;41;STREET;N;25-44;M;WHITE HISPANIC;25-44;M;WHITE HISPANIC
11.12.2022;MANHATTAN;10;STREET;Y;25-44;M;BLACK;25-44;F;BLACK
07.02.2022;MANHATTAN;7;STREET;N;<18;M;BLACK;25-44;M;BLACK
05/28/2022;BROOKLYN;75;DWELLING;N;(null);(null);(null);<18;M;BLACK
06/23/2022;BRONX;48;STREET;N;(null);(null);(null);25-44;M;WHITE HISPANIC
05/29/2022;BROOKLYN;73;HOUSING;Y;25-44;M;BLACK;25-44;M;BLACK
05/22/2022;BRONX;46;STREET;N;18-24;M;BLACK HISPANIC;65+;M;WHITE HISPANIC
09.01.2022;BRONX;46;DWELLING;Y;18-24;M;BLACK;18-24;M;BLACK
