year,state,state_po,state_fips,state_cen,state_ic,office,district,stage,special,candidate,party_detailed,writein,mode,candidatevotes,totalvotes,unofficial,version,party_simplified
1980,ALABAMA,AL,1,63,41,US SENATE,statewide,gen,False,MOHAMMED OLIVER,SOCIALIST WORKERS,False,total,1511,1296757,False,20210114,OTHER
1994,PENNSYLVANIA,PA,42,23,14,US SENATE,statewide,gen,False,HARRIS WOFFORD,DEMOCRAT,False,total,1648481,3513361,False,20210114,DEMOCRAT
2018,WEST VIRGINIA,WV,54,55,56,US SENATE,statewide,gen,False,JOE MANCHIN,DEMOCRAT,False,total,288808,582911,True,20210114,DEMOCRAT
2008,WYOMING,WY,56,83,68,US SENATE,statewide,gen,False,,,True,total,269,250007,False,20210114,OTHER
2006,MINNESOTA,MN,27,41,33,US SENATE,statewide,gen,False,MICHAEL JAMES CAVLAN,GREEN,False,total,10714,2202772,False,20210114,OTHER
1988,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,False,SALLY BIER,WORKERS AGAINST CONCESSIONS,False,total,8908,3505985,False,20210114,OTHER
2004,OREGON,OR,41,92,72,US SENATE,statewide,gen,False,AL KING,REPUBLICAN,False,total,565254,1780550,False,20210114,REPUBLICAN
2012,INDIANA,IN,18,32,22,US SENATE,statewide,gen,False,ANDREW ??ANDY?? HORNING,LIBERTARIAN,False,total,145282,2560102,False,20210114,LIBERTARIAN
1978,ILLINOIS,IL,17,33,21,US SENATE,statewide,gen,False,,,True,total,159,3184764,False,20210114,OTHER
2010,VERMONT,VT,50,13,6,US SENATE,statewide,gen,False,STEPHEN J. CAIN,INDEPENDENT,False,total,2356,235178,False,20210114,OTHER
2008,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,False,CHRISTINE O'DONNELL,REPUBLICAN,False,total,140595,398134,False,20210114,REPUBLICAN
2010,LOUISIANA,LA,22,72,45,US SENATE,statewide,gen,False,DAVID VITTER,REPUBLICAN,False,total,715415,1264994,False,20210114,REPUBLICAN
2010,CONNECTICUT,CT,9,16,1,US SENATE,statewide,gen,False,WARREN B. MOSLER,INDEPENDENT,False,total,11275,1153115,False,20210114,OTHER
2012,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,False,RICHARD A. MATKIN,U.S. TAXPAYERS,False,total,26038,4652918,False,20210114,OTHER
1992,OREGON,OR,41,92,72,US SENATE,statewide,gen,False,OTHER,,False,total,12934,1376033,False,20210114,OTHER
2014,MAINE,ME,23,11,2,US SENATE,statewide,gen,False,SHENNA BELLOWS,DEMOCRAT,False,total,190254,616996,False,20210114,DEMOCRAT
2006,NEW MEXICO,NM,35,85,66,US SENATE,statewide,gen,False,,,True,total,359,558550,False,20210114,OTHER
1988,MICHIGAN,MI,26,34,23,US SENATE,statewide,gen,False,OTHER,,False,total,4877,3505985,False,20210114,OTHER
1996,OREGON,OR,41,92,72,US SENATE,statewide,gen,False,GORDON SMITH,REPUBLICAN,False,total,677336,1360230,False,20210114,REPUBLICAN
2000,DELAWARE,DE,10,51,11,US SENATE,statewide,gen,False,THOMAS R. CARPER,DEMOCRAT,False,total,181566,326993,False,20210114,DEMOCRAT
2008,ARKANSAS,AR,5,71,42,US SENATE,statewide,gen,False,REBEKAH KENNEDY,GREEN,False,total,207076,1011754,False,20210114,OTHER
2016,COLORADO,CO,8,84,62,US SENATE,statewide,gen,False,DARRYL GLENN,REPUBLICAN,False,total,1215318,2743023,False,20210114,REPUBLICAN
1984,MONTANA,MT,30,81,64,US SENATE,statewide,gen,False,MAX BAUCUS,DEMOCRAT,False,total,215704,379155,False,20210114,DEMOCRAT
2014,TENNESSEE,TN,47,62,54,US SENATE,statewide,gen,False,C. SALEKIN,INDEPENDENT,False,total,787,1374065,False,20210114,OTHER
2016,UTAH,UT,49,87,67,US SENATE,statewide,gen,False,STONEY FONUA,INDEPENDENT AMERICAN,False,total,27339,1115583,False,20210114,OTHER
1976,ARIZONA,AZ,4,86,61,US SENATE,statewide,gen,False,DENNIS DECONCINI,DEMOCRAT,False,total,400334,741210,False,20210114,DEMOCRAT
1978,MAINE,ME,23,11,2,US SENATE,statewide,gen,False,WILLIAM S. COHEN,REPUBLICAN,False,total,212294,375114,False,20210114,REPUBLICAN
