year;state;state_po;state_fips;state_cen;state_ic;office;district;stage;special;candidate;party_detailed;writein;mode;candidatevotes;totalvotes;unofficial;version;party_simplified
2004;WISCONSIN;WI;55;35;25;US SENATE;statewide;gen;FALSE;BLANK VOTE/SCATTERING;;FALSE;total;834;2949743;FALSE;20210114;OTHER
2010;LOUISIANA;LA;22;72;45;US SENATE;statewide;gen;FALSE;MILTON GORDON;NO PARTY;FALSE;total;4810;1264994;FALSE;20210114;OTHER
1976;NEW MEXICO;NM;35;85;66;US SENATE;statewide;gen;FALSE;"HARRISON ""JACK"" SCHMITT";REPUBLICAN;FALSE;total;234681;413056;FALSE;20210114;REPUBLICAN
2020;LOUISIANA;LA;22;72;45;US SENATE;statewide;gen;FALSE;ADRIAN PERKINS;DEMOCRAT;FALSE;total;394049;2071543;FALSE;20210114;DEMOCRAT
2012;CONNECTICUT;CT;9;16;1;US SENATE;statewide;gen;FALSE;LINDA E. MCMAHON;INDEPENDENT;FALSE;total;46520;1511764;FALSE;20210114;OTHER
2006;NEW JERSEY;NJ;34;22;12;US SENATE;statewide;gen;FALSE;ROBERT MENENDEZ;DEMOCRAT;FALSE;total;58333;101973;FALSE;20210114;DEMOCRAT
2008;MAINE;ME;23;11;2;US SENATE;statewide;gen;FALSE;SUSAN M. COLLINS;REPUBLICAN;FALSE;total;444300;724430;FALSE;20210114;REPUBLICAN
2014;KENTUCKY;KY;21;61;51;US SENATE;statewide;gen;FALSE;;;TRUE;total;17;1435868;FALSE;20210114;OTHER
1992;WISCONSIN;WI;55;35;25;US SENATE;statewide;gen;FALSE;MERVIN A. HANSON, SR.;INDEPENDENT;FALSE;total;3264;2455124;FALSE;20210114;OTHER
1984;MONTANA;MT;30;81;64;US SENATE;statewide;gen;FALSE;CHUCK COZZENS;REPUBLICAN;FALSE;total;154308;379155;FALSE;20210114;REPUBLICAN
1982;VERMONT;VT;50;13;6;US SENATE;statewide;gen;FALSE;MICHAEL EDWARD HACKETT;INDEPENDENT;FALSE;total;1463;168002;FALSE;20210114;OTHER
1976;DELAWARE;DE;10;51;11;US SENATE;statewide;gen;FALSE;JOHN A. MASSIMILLA;PROHIBITION;FALSE;total;216;224795;FALSE;20210114;OTHER
2018;FLORIDA;FL;12;59;43;US SENATE;statewide;gen;FALSE;RICK SCOTT;REPUBLICAN;FALSE;total;4099505;8190005;FALSE;20210114;REPUBLICAN
